guide	gene	T0_WT	T21A_WT	T21B_WT	T21C_WT	T0_HMCES	T24A_HMCES	T24B_HMCES	T24C_HMCES
MKOv4_1821	IDH1	1873	2286	2187	1656	1916	1784	2448	2361
MKOv4_4037	TOP2A	1410	1801	1758	1254	1332	405	894	850
MKOv4_0122	ALDH2	1656	1115	1348	1359	1778	1616	2108	1686
MKOv4_1745	HERC2	2691	2538	2101	1922	2551	2799	2438	2450
MKOv4_1508	FBXW7	1151	1479	1351	1535	1402	2490	2398	2081
MKOv4_1580	GADD45G	1272	1032	1300	1293	1427	1275	938	1675
MKOv4_0989	DGAT2L6	1531	2118	1658	1995	1520	793	1541	1431
MKOv4_3826	SMC5	958	919	750	806	1131	837	1003	735
MKOv4_4035	TOP2A	2099	1252	1166	1182	2080	53	115	24
MKOv4_1497	FANCM	1537	633	858	441	1525	76	125	355
MKOv4_2940	POLR3C	1426	564	567	749	1296	293	291	218
MKOv4_0788	CHEK2	509	334	519	369	517	542	456	335
MKOv4_2495	ORAOV1	1700	611	661	633	1604	22	19	50
MKOv4_0293	APOBEC1	1506	804	687	743	1583	525	964	764
MKOv4_4288	UIMC1	1758	1330	2115	2073	1950	2100	1691	2254
MKOv4_3878	SPO11	656	838	650	1065	778	1630	1258	853
MKOv4_1527	FGF4	2685	3046	3116	2877	2568	1267	1121	794
MKOv4_1327	EZH2	721	607	643	893	620	610	419	882
MKOv4_0429	BACH1	1583	1418	1200	1410	1510	1986	1718	1757
MKOv4_3660	SCAI	2818	2671	2666	2240	2525	1394	1681	1046
MKOv4_3543	RPA1	1386	687	528	551	1384	3	219	0
MKOv4_3235	RAX	3452	2399	2555	2379	3364	2905	2595	2184
MKOv4_4211	T	3779	4400	4364	4880	3999	6204	5702	6061
MKOv4_2181	MSH2	1127	1121	869	988	1093	1372	827	989
MKOv4_2357	NOL6	899	609	489	565	841	72	109	79
MKOv4_0914	DCLRE1B	1412	769	791	919	1343	342	247	208
MKOv4_2871	POLL	2620	3057	2962	2992	2741	2313	2456	1979
MKOv4_3601	RRM1	2431	761	574	521	2011	217	50	97
MKOv4_2964	PPP4C	1864	540	428	505	1685	157	1	4
MKOv4_0620	CDC16	1105	1693	1351	1208	1077	341	474	601
MKOv4_3745	SHPRH	2266	2190	2135	1704	2405	2555	2220	2774
MKOv4_2771	POLD2	1452	813	613	627	1443	105	23	37
MKOv4_1472	FANCG	2139	2579	2837	1853	1984	822	407	1250
MKOv4_1004	DHX8	1453	951	800	936	1454	88	315	63
MKOv4_1839	INIP	1640	1798	1630	1795	1431	2261	2466	1937
MKOv4_2788	POLD4	2002	1751	1782	1823	1893	1553	1559	1257
MKOv4_1359	FAAP20	2444	1875	1712	1866	2562	1642	1545	1524
MKOv4_2833	POLG	1958	1897	1581	1552	1830	237	330	470
MKOv4_2548	PARP3	1113	632	632	599	885	465	589	424
MKOv4_3350	RFC1	1447	1308	1576	1330	1438	1587	1922	1810
MKOv4_0286	APLF	2145	2186	1959	2008	1970	1278	2193	1712
MKOv4_3847	SOX4	1791	1936	1609	2277	1784	2268	2797	3362
MKOv4_4025	TOP1	1117	964	879	1026	1177	142	173	479
MKOv4_0544	C1orf112	1331	1304	1372	1202	1154	675	736	841
MKOv4_1454	FANCE	1389	1954	1808	1796	1452	858	947	954
MKOv4_3422	RMI1	1473	1217	1426	1043	1164	265	181	57
MKOv4_2544	PARP3	1821	1999	1761	1728	1770	1569	1386	1266
MKOv4_1044	DNTT	2173	1968	1610	1838	1927	1227	1407	982
MKOv4_2935	POLR2E	1616	259	330	106	1567	49	46	31
MKOv4_1685	GTF2H3	1894	2137	1900	1954	1886	2387	2300	2257
MKOv4_3449	RNASEH2B	1475	2062	2153	1993	1521	1545	1628	1675
MKOv4_0539	BUD31	1682	1164	997	1060	1786	232	298	143
MKOv4_1347	FAAP100	2205	1846	2332	2018	2116	483	806	705
MKOv4_4022	TOP1	3581	4415	3434	3790	3585	2321	1814	2705
MKOv4_0932	DDB1	2175	2540	2311	2534	2183	1552	1174	2084
MKOv4_3103	RAD1	1341	1303	1557	991	1378	129	99	180
MKOv4_3035	PRSS37	1321	1547	1709	1532	1369	1365	2170	1235
MKOv4_4286	UIMC1	2635	2433	2189	1991	2643	1647	1272	1882
MKOv4_2178	MSH2	931	884	874	841	861	558	522	1106
MKOv4_2911	POLR1C	2048	704	679	684	2010	384	321	142
MKOv4_2103	MMS19	1384	1126	1404	1188	1476	1000	1437	586
MKOv4_0583	CCNH	967	715	625	445	922	315	426	331
MKOv4_4094	TP53	2036	3696	2926	2591	2132	7239	9572	9854
MKOv4_0455	BHLHE40	2589	2813	3303	2370	2764	2467	3168	2843
MKOv4_2310	NEIL2	3801	4848	3907	3764	3415	3706	3845	4093
MKOv4_1898	KITLG	2842	2979	2833	3155	2568	4225	3926	3998
MKOv4_4366	WDR48	1439	1417	852	967	1386	484	898	281
MKOv4_1433	FANCC	2177	995	1094	1074	2282	416	395	222
MKOv4_2399	NSMCE3	1831	727	576	719	1703	65	85	7
MKOv4_4396	WRN	2376	2582	2224	2226	2280	2562	1921	1840
MKOv4_0794	CHTF18	1741	1575	1609	1164	1855	614	573	306
MKOv4_4496	YWHAE	1174	645	479	632	1070	467	511	439
MKOv4_2426	NUDT15	1650	1591	1322	1901	1610	2175	1759	1698
MKOv4_1879	KCNK10	2086	2651	2712	2968	2015	2287	2640	1843
MKOv4_2628	PHB2	1809	841	847	667	1910	18	43	17
MKOv4_3687	SERPINB12	1491	1791	1800	1462	1266	2019	1768	1932
MKOv4_0453	BHLHE40	1094	1267	1184	1077	1248	1499	1452	2056
MKOv4_2145	MPLKIP	1922	2186	2199	1603	1916	842	1321	1098
MKOv4_0776	CHEK1	1494	2407	1847	1352	1379	2469	2333	3083
MKOv4_2828	POLE	2852	2760	2167	2463	2417	699	610	273
MKOv4_1032	DNLZ	913	1148	740	828	1145	754	392	302
MKOv4_4069	TOP3B	1725	1896	1623	1773	1671	1585	1995	1872
MKOv4_3821	SMC5	996	713	558	430	882	145	64	139
MKOv4_3344	REV3L	1554	1192	1072	1148	1442	471	296	468
MKOv4_1178	ENDOV	2000	1599	1813	2335	2016	1179	1836	1388
MKOv4_0127	ALDH2	1027	899	870	879	989	904	654	668
MKOv4_2787	POLD4	1387	1760	1388	1119	1681	974	1023	1347
MKOv4_0459	BHLHE40	1643	1139	1488	1399	1690	1114	2415	1681
MKOv4_1994	MAD2L2	2422	2677	2382	2568	2375	927	990	1754
MKOv4_0541	C1orf112	1743	1473	1818	1834	1562	1242	1346	2173
MKOv4_0955	DDOST	1204	1007	1023	929	1178	398	639	240
MKOv4_2487	OPN5	2443	3126	2644	2677	2417	1805	3175	2439
MKOv4_3911	SUV39H1	2664	3333	3478	3122	2922	2846	2601	3732
MKOv4_4168	TSSK1B	1967	2839	2092	2444	2007	2409	1908	1975
MKOv4_1562	GABRA1	1073	1736	1304	942	1172	1244	801	1262
MKOv4_0634	CDC25B	2778	2403	2403	2194	2832	900	1015	1092
MKOv4_3827	SMC6	578	525	383	761	520	309	515	312
MKOv4_1364	FAAP20	1156	1242	982	1113	1155	809	675	910
MKOv4_1042	DNTT	1395	1792	1413	1653	1642	895	693	980
MKOv4_2223	MUS81	2307	1508	1680	1207	2167	343	295	129
MKOv4_0806	CKAP5	1326	511	375	547	1216	49	69	126
MKOv4_2685	PLRG1	1657	2225	1698	1975	1679	120	274	110
MKOv4_1908	KLK12	1876	2580	2183	1834	1931	1663	1279	1404
MKOv4_0253	ALKBH3	1753	2118	1599	1957	1799	2228	1280	2180
MKOv4_0233	ALKBH1	1763	2437	2078	1617	1836	1873	1486	1523
MKOv4_0280	APEX2	1190	1335	874	1133	1180	994	1013	679
MKOv4_0693	CDK4	2029	1815	1616	1639	2189	665	927	1146
MKOv4_1241	ERCC6	1535	1618	1543	1660	1721	1466	1312	1053
MKOv4_3089	RAD17	2508	2608	2230	2217	2414	2818	2565	2263
MKOv4_3566	RPA3	1921	2530	1868	2390	1861	2740	3239	2178
MKOv4_2858	POLI	1025	923	1104	985	1015	1043	1786	998
MKOv4_0217	ALDH8A1	3538	4062	3809	4138	3420	5204	4604	4487
MKOv4_3594	RPS5	1257	806	769	880	1399	14	33	46
MKOv4_1972	LIG4	519	512	498	548	558	228	444	167
MKOv4_1155	EME1	1110	694	748	595	1129	423	355	633
MKOv4_1048	DNTT	2157	2795	2251	1778	2426	1375	2360	2092
MKOv4_3836	SMC6	975	563	776	684	949	22	66	69
MKOv4_0974	DDX20	2720	3403	3145	3129	2780	294	402	312
MKOv4_1981	LMNA	2498	3195	2345	2853	2259	2462	3044	2371
MKOv4_2368	NONO	1690	534	638	340	1439	181	407	78
MKOv4_1876	KCNK10	1708	1739	1523	1520	1667	1521	2037	2027
MKOv4_3698	SETDB1	2196	2403	2647	1929	2275	1162	1020	1068
MKOv4_2235	MUTYH	1760	1529	1673	1259	1437	861	1585	998
MKOv4_2088	MLH3	1859	1633	1636	1557	1787	1114	1899	2126
MKOv4_3230	RAX	1723	1548	1409	1519	1653	1149	1792	1536
MKOv4_0339	ASCC2	2494	2626	2024	2629	2686	2275	2258	1814
MKOv4_2637	PIF1	1522	1961	1556	1364	1650	1493	1529	786
MKOv4_1902	KITLG	2023	2169	2416	2041	1922	1432	1671	1976
MKOv4_2539	PARP2	1728	2329	1771	1628	1721	2264	2203	1701
MKOv4_1721	HELB	2046	1946	1484	1877	2001	1707	1805	2377
MKOv4_3757	SLC36A3	1693	1935	1606	1762	1419	1459	1643	2490
MKOv4_3615	RRM2B	2161	2143	2600	2194	2171	2432	3014	3505
MKOv4_3238	RAX	2345	2977	3020	2951	2524	3329	3375	2506
MKOv4_0754	CHAF1A	2239	996	827	933	2273	648	360	435
MKOv4_1931	KRAS	2475	3637	2917	2899	2434	3593	3855	4077
MKOv4_3971	TDP2	1628	1092	1171	1460	1436	73	127	95
MKOv4_0307	APTX	2443	2437	2013	2018	2435	2235	2212	2182
MKOv4_4073	TOPBP1	1437	1025	1165	1015	1162	68	39	2
MKOv4_3158	RAD51C	662	336	541	503	701	45	66	141
MKOv4_2802	POLE3	1139	1310	1021	1126	1154	1295	1119	1504
MKOv4_2369	NONO	1595	503	455	560	1691	361	717	488
MKOv4_0369	ATP6V1A	2428	2923	2464	2720	1972	3145	3062	3578
MKOv4_2927	POLR2B	601	248	332	321	520	11	0	6
MKOv4_1115	EIF2S1	1031	735	723	435	944	355	118	306
MKOv4_1804	HTR5A	1806	1926	2112	2221	1885	1947	1945	2351
MKOv4_3496	RNF17	1480	1448	1669	1721	1486	1375	2502	1283
MKOv4_1954	LIG3	1615	1112	982	1369	1591	300	307	412
MKOv4_2939	POLR3C	1828	1511	1241	1424	1821	322	207	295
MKOv4_1300	EXD2	1910	2205	1901	1848	1949	1938	1880	2168
MKOv4_3731	SFPQ	1847	2488	1978	2140	1726	1476	2092	1869
MKOv4_2216	MSH6	1528	1312	1225	1182	1533	1381	1217	1148
MKOv4_4480	XRCC6	1979	807	1180	695	2039	152	113	145
MKOv4_3451	RNASEL	1807	1764	1828	1765	1760	844	787	893
MKOv4_0379	ATRIP	2284	1332	1148	971	2130	342	202	660
MKOv4_3111	RAD23A	674	432	602	507	785	356	445	630
MKOv4_0784	CHEK2	1235	1701	1766	1480	1359	2156	1934	2077
MKOv4_1104	EID3	1454	1855	1281	1363	1378	1544	882	1174
MKOv4_0276	APEX2	2113	2704	2300	2182	2144	1582	2361	1692
MKOv4_0378	ATRIP	2492	1485	1194	1021	2377	68	101	354
MKOv4_4358	WDR43	3288	3651	3661	3331	3053	1973	2052	2391
MKOv4_2229	MUS81	2470	3085	3088	2370	2441	1014	739	861
MKOv4_1402	FAN1	2157	2369	2246	2042	2232	2207	1609	2132
MKOv4_2143	MPLKIP	1319	1896	1703	1548	1466	1979	1744	1338
MKOv4_2171	MRPL40	1601	1775	1861	1667	1535	196	212	210
MKOv4_1315	EXO1	1129	790	875	859	1008	613	908	1024
MKOv4_3431	RMI2	2806	2502	2519	2378	2806	1155	1030	1564
MKOv4_0921	DCLRE1C	1556	1803	2044	2111	1462	795	1302	743
MKOv4_2682	PLK3	1935	1088	1252	888	2032	796	940	1559
MKOv4_2082	MLH1	1837	2036	2022	1707	1745	1721	2464	1997
MKOv4_1752	HES1	2400	1654	1938	1914	2393	2365	2674	2766
MKOv4_2914	POLR1C	2353	1475	1654	1482	2593	522	317	382
MKOv4_4359	WDR48	2279	932	951	943	2169	317	438	403
MKOv4_0512	BRCC3	1219	1229	1422	1432	1139	1276	1268	1009
MKOv4_2351	NHEJ1	1437	1128	1022	1058	1354	392	477	740
MKOv4_3497	RNF17	1558	1584	1814	1703	1461	1661	1726	2147
MKOv4_2156	MRE11	1113	752	1289	796	1109	1	64	49
MKOv4_1570	GADD45A	2040	1561	1562	1244	2038	1922	1556	1497
MKOv4_2027	MCM5	1355	1341	1113	1771	1257	45	377	101
MKOv4_1277	ESR1	2277	1760	1939	2006	2266	2534	3707	2659
MKOv4_1308	EXO1	2396	1826	1356	1492	2082	474	907	1306
MKOv4_2164	MRPL40	1640	461	201	290	1639	359	325	349
MKOv4_2866	POLK	1967	1841	1727	1531	1868	1650	1234	1619
MKOv4_1524	FEN1	1230	1994	1459	1707	1417	1894	1987	1799
MKOv4_0190	ALDH5A1	1555	1637	1327	1474	1368	1018	735	1235
MKOv4_2551	PARP3	1492	1655	1393	1499	1540	1568	1661	2347
MKOv4_3674	SERPINA7	2203	2426	2501	2427	2188	2228	3441	2477
MKOv4_2434	NUDT16L1	3179	1379	1552	1572	3024	2045	1873	1813
MKOv4_2909	POLR1C	1490	707	860	678	1663	685	824	1187
MKOv4_2525	PARP1	2099	922	1178	1059	1893	434	715	1015
MKOv4_0086	ALDH1A3	1201	1079	1027	892	1112	1046	955	1693
MKOv4_4356	WDR43	1159	1112	928	881	1182	105	38	210
MKOv4_3182	RAD52	1346	1059	1181	920	1130	853	1753	1240
MKOv4_2725	PNPLA5	2360	2593	2630	2324	2350	3362	3248	2279
MKOv4_0250	ALKBH2	1263	1440	1463	1537	1300	1419	1397	1426
MKOv4_1247	ERCC8	1715	2008	1894	1686	1774	1218	1563	1631
MKOv4_1079	ECD	1561	1548	1273	1489	1495	445	543	612
MKOv4_0600	CCT2	2511	770	585	707	2367	39	24	300
MKOv4_4106	TPH2	1403	1383	1444	1460	1287	1171	1393	1186
MKOv4_3892	SPRTN	1138	1058	1076	797	1075	699	834	747
MKOv4_3028	PRPF19	2277	1407	1702	1723	2455	67	96	71
MKOv4_2908	POLQ	2192	1356	1112	1048	2264	1632	1537	1514
MKOv4_2662	PLA2G2F	1246	1380	1269	1245	1221	1317	1726	1316
MKOv4_4362	WDR48	1272	1495	1600	1396	1369	740	483	514
MKOv4_3528	RNF8	1302	2047	1676	1374	1399	300	320	411
MKOv4_1568	GADD45A	2380	2296	1806	1794	2499	1319	1294	1516
MKOv4_0523	BRIP1	952	1037	1090	853	870	780	1036	859
MKOv4_0791	CHTF18	2175	1425	1165	982	2250	1823	1383	1784
MKOv4_4143	TRIP4	1782	2247	2177	2230	1735	2477	2798	2705
MKOv4_3656	RXFP3	736	867	814	610	791	829	674	1185
MKOv4_2354	NOL6	1462	858	1070	1159	1295	457	194	669
MKOv4_0542	C1orf112	1705	2039	1771	1575	1625	1285	1203	1609
MKOv4_3265	RBX1	1939	1251	1280	1036	1744	55	294	96
MKOv4_0867	CUL3	1478	459	408	233	1423	99	670	379
MKOv4_1640	GRB2	1774	1581	1323	887	1751	599	699	410
MKOv4_0582	CCNH	1519	263	239	248	1269	301	161	436
MKOv4_2827	POLE	785	264	514	404	855	3	38	12
MKOv4_1441	FANCD2	940	537	684	745	832	93	134	46
MKOv4_0853	CST9	2235	2643	2511	2165	2170	3126	2578	2995
MKOv4_1385	FAM35A	2122	1476	1332	1386	1969	627	493	951
MKOv4_0146	ALDH3A2	1676	1952	1627	1677	1480	1853	1581	1125
MKOv4_2786	POLD4	1955	1930	1754	1580	2178	980	1403	1582
MKOv4_2762	POLD1	2693	1856	1630	1626	2570	585	371	265
MKOv4_4287	UIMC1	1783	1150	1632	1285	2069	1762	2568	1474
MKOv4_2989	PPP4R4	1744	2085	2224	2069	1650	1308	1560	1151
MKOv4_1522	FEN1	2214	588	588	323	2369	244	271	268
MKOv4_0374	ATRIP	1415	838	886	761	1465	430	245	381
MKOv4_1695	GTF2H4	1833	1478	1331	1055	1850	1297	1509	1061
MKOv4_1443	FANCD2	1823	1794	1851	1924	1857	955	865	856
MKOv4_3577	RPA4	1414	1258	1229	1372	1445	833	1156	635
MKOv4_1690	GTF2H4	2630	3228	3292	3676	2761	1308	1276	1181
MKOv4_2483	OGG1	2064	2086	2301	1974	1867	1802	1405	1961
MKOv4_4518	ZRANB3	1574	2014	1556	1831	1373	2055	2392	1427
MKOv4_1749	HES1	1384	1083	825	793	1310	1521	1040	716
MKOv4_1531	FGF4	910	947	952	927	919	470	996	726
MKOv4_0674	CDK1	1460	384	337	374	1371	178	62	66
MKOv4_1979	LMNA	1754	1546	1478	1430	1664	1072	605	828
MKOv4_2384	NSMCE2	1619	1407	1716	1685	1476	653	1153	692
MKOv4_2242	MUTYH	1007	1475	991	1335	1117	1182	1003	1066
MKOv4_2724	PNPLA5	2829	3300	3227	3205	2863	3215	4759	2869
MKOv4_1683	GTF2H3	2338	2237	2455	1892	2236	299	263	223
MKOv4_2136	MPG	1821	1419	1489	1439	2002	710	629	550
MKOv4_0796	CHTF18	2054	2106	2067	2378	1901	1796	2029	1592
MKOv4_2048	MDM2	2365	2369	2048	1854	2207	1430	1712	2022
MKOv4_3623	RRM2	2180	2034	1445	1759	1941	676	890	639
MKOv4_2670	PLK1	1645	1101	1252	948	1472	4	128	78
MKOv4_1038	DNLZ	1791	759	461	492	1892	213	80	78
MKOv4_1653	GSX2	1454	1823	1670	1499	1487	2375	2085	2051
MKOv4_0317	ARCN1	1991	768	537	346	1498	104	93	235
MKOv4_0159	ALDH3B1	1851	2448	2886	2205	1910	2414	3051	2718
MKOv4_0943	DDB2	1831	2926	1976	1631	1852	2806	2926	3691
MKOv4_2113	MMS22L	783	1052	842	828	822	388	647	579
MKOv4_3843	SMUG1	1496	1643	1747	1179	1379	1804	1574	1555
MKOv4_1182	ERCC1	3064	2942	3081	2811	2928	1564	1713	2090
MKOv4_0913	DCLRE1B	1964	847	842	880	1827	320	290	462
MKOv4_0245	ALKBH2	2714	3163	2848	2865	2809	2918	2653	3277
MKOv4_4042	TOP2B	2096	1556	1778	1658	2180	2285	2453	2754
MKOv4_3735	SFR1	1307	947	628	588	1196	227	79	121
MKOv4_2706	PMS2	2264	3044	2243	2691	2342	2165	2147	2382
MKOv4_1225	ERCC5	606	869	708	736	650	557	481	520
MKOv4_2594	PCNA	2924	2102	1989	1782	3113	91	117	75
MKOv4_2353	NOL6	1535	1279	1126	927	1612	199	559	513
MKOv4_1109	EIF2S1	1310	1576	1410	1411	1227	98	59	19
MKOv4_3639	RTEL1	1653	1045	933	930	1677	578	722	583
MKOv4_1137	ELOA	2181	1952	2133	2122	2118	1168	1118	1315
MKOv4_1485	FANCI	1520	1260	1439	1322	1522	264	270	115
MKOv4_0396	ATR	693	253	448	523	723	133	259	319
MKOv4_0876	CUL4A	3474	4555	3823	3318	3296	4671	6227	4583
MKOv4_1823	IDH1	1797	2242	1829	1944	1644	1755	2199	1799
MKOv4_2832	POLG	1586	1960	1997	1581	1759	543	733	714
MKOv4_2326	NELFB	1443	1254	1224	1705	1420	57	80	137
MKOv4_4113	TREX1	1479	937	1119	1031	1478	622	832	878
MKOv4_3631	RS1	1481	1889	1687	1906	1443	1518	2090	1081
MKOv4_4036	TOP2A	1992	2458	2196	1653	1935	290	363	579
MKOv4_4410	XPA	1009	1532	1069	921	1115	1761	1884	1338
MKOv4_1072	DUT	3031	2976	2258	2519	2764	1126	940	1404
MKOv4_3555	RPA2	2600	2087	2143	2249	2459	359	261	312
MKOv4_0613	CDC16	2156	2012	2227	1745	1770	923	1356	1073
MKOv4_1495	FANCL	1257	1390	1475	1260	1255	406	643	522
MKOv4_1885	KIF11	1232	1453	1554	1363	1131	517	406	186
MKOv4_1275	ERI3	2102	1758	1628	1534	1912	647	1190	1658
MKOv4_3403	RFWD3	2037	2347	2023	2273	2242	766	772	608
MKOv4_2657	PLA2G2F	1316	1395	1348	1314	1374	916	1219	1822
MKOv4_4507	YWHAG	1681	1430	1554	1726	1531	1104	1448	1190
MKOv4_1998	MAD2L2	2059	681	740	720	2137	66	126	148
MKOv4_1130	ELOA	1898	2210	2086	1873	1817	1087	1731	1109
MKOv4_3695	SETDB1	1836	1274	1011	1345	1985	520	1373	669
MKOv4_3010	PRKDC	2643	1454	1323	1536	2577	362	343	403
MKOv4_1095	EEPD1	1668	1590	1525	1720	1838	1099	1836	1329
MKOv4_0612	CDC16	2323	2550	2494	2486	2086	626	731	736
MKOv4_4354	WDR43	1003	506	561	357	867	128	205	130
MKOv4_0320	ARCN1	1703	2043	1579	1673	1590	362	279	212
MKOv4_1786	HMGB2	2006	2205	1767	1567	1987	1590	1356	1731
MKOv4_2818	POLE4	1517	1906	1430	1434	1438	818	1297	1751
MKOv4_1328	EZH2	1439	1432	1441	1164	1382	1456	1457	1281
MKOv4_4312	UTS2R	1507	1952	1768	1262	1527	1279	1787	1684
MKOv4_2341	NFATC2IP	1180	860	825	754	1105	362	768	724
MKOv4_1439	FANCD2	1068	822	997	871	1036	257	549	388
MKOv4_1922	KMT2D	2215	2184	1843	1855	1971	1415	1507	1020
MKOv4_0398	ATR	1533	1767	1445	1518	1294	684	778	1215
MKOv4_3286	RD3	1053	1583	1330	1266	954	1023	891	1031
MKOv4_3802	SMARCAL1	1434	1857	1173	1565	1316	1532	1302	1597
MKOv4_2842	POLH	1165	615	775	632	1138	792	890	889
MKOv4_0468	BLM	1553	444	458	433	1466	281	109	162
MKOv4_1966	LIG4	1181	1332	1465	1284	1339	316	263	480
MKOv4_2781	POLD3	1801	2209	1975	2002	1915	873	775	963
MKOv4_2077	MLH1	1549	1835	1459	1872	1688	1879	1883	1609
MKOv4_3977	TELO2	1787	1643	1382	1394	1937	365	301	148
MKOv4_2596	PCNA	3172	635	652	561	3139	314	335	286
MKOv4_1266	ERI3	2418	2446	2063	2150	2502	1600	1824	1322
MKOv4_1434	FANCC	2660	3293	3193	3340	2696	1943	1881	2181
MKOv4_0767	CHD2	1291	885	754	818	1202	792	620	595
MKOv4_0526	BRIP1	2610	3887	3390	3138	2508	1472	1205	1544
MKOv4_0364	ATP6V1A	1295	401	295	154	1163	2173	2341	1578
MKOv4_0990	DGAT2L6	1989	2269	2452	2712	1828	1259	1467	1562
MKOv4_3679	SERPINA7	1041	929	686	554	931	984	868	1002
MKOv4_0390	ATRX	1940	1833	1524	1746	1918	1207	2029	1748
MKOv4_0234	ALKBH1	916	968	1178	734	936	663	506	621
MKOv4_1343	F13B	1167	1564	1517	1566	1370	1557	1274	1737
MKOv4_1636	GRB2	2096	2125	1861	1625	2310	409	1217	640
MKOv4_0368	ATP6V1A	2135	2071	1996	1876	2017	3811	3434	4517
MKOv4_1351	FAAP100	1959	1109	855	1157	1988	208	343	396
MKOv4_0700	CDK4	2600	3135	2859	2660	2459	1998	2736	2139
MKOv4_3544	RPA1	1033	1109	976	756	812	251	264	78
MKOv4_3803	SMARCAL1	1311	1227	1288	1090	1339	921	1237	1051
MKOv4_3817	SMC5	2163	2514	2000	2437	2162	2467	2480	2044
MKOv4_0535	BUD31	1031	1092	1167	1207	1008	1366	1416	1497
MKOv4_4187	TUBGCP2	1099	469	354	248	1084	3	274	220
MKOv4_0481	BPIFB6	2405	3111	3083	2566	2474	3504	4814	3154
MKOv4_2805	POLE3	1667	1076	1027	836	1702	1207	1366	715
MKOv4_2719	PNKP	1357	1776	1749	1998	1621	2421	1577	2348
MKOv4_1494	FANCL	1263	1550	1727	1702	1399	165	396	514
MKOv4_2186	MSH3	559	699	425	450	569	580	341	787
MKOv4_1916	KMT2D	2769	3246	3221	3229	2812	2281	2129	2818
MKOv4_0264	APEX1	2218	2057	1800	1785	2128	970	934	1252
MKOv4_4403	XAB2	2102	2058	1645	1801	2118	185	322	202
MKOv4_0439	BARD1	1150	1458	1095	1077	1175	721	563	841
MKOv4_3272	RCC1	1791	1136	807	555	1842	207	260	261
MKOv4_4420	XPC	1164	1240	1175	1273	1133	927	997	1437
MKOv4_2937	POLR2E	2294	970	961	1115	2265	40	73	87
MKOv4_0795	CHTF18	3025	2509	2422	2627	3089	323	456	499
MKOv4_1450	FANCE	2191	1769	1461	1463	2009	716	539	354
MKOv4_3017	PRKDC	915	792	701	797	869	101	118	118
MKOv4_0702	CDK6	1388	1811	1120	1051	1239	1531	1898	2304
MKOv4_3697	SETDB1	1395	566	529	347	1088	269	443	359
MKOv4_2032	MCM5	1765	1095	976	904	1838	132	215	191
MKOv4_4219	UBE2A	1244	1424	1028	1510	1105	1672	1417	1099
MKOv4_2396	NSMCE3	913	226	218	283	823	50	56	42
MKOv4_4313	UTS2R	2260	2272	1985	2304	1998	2219	1365	1879
MKOv4_0977	DDX20	1454	1311	927	921	1231	145	636	239
MKOv4_0783	CHEK2	1384	1548	1973	1594	1302	2090	1961	2193
MKOv4_3289	RD3	2517	3135	2980	2840	2779	3626	3498	2911
MKOv4_3461	RNF138	1085	1133	1174	1032	1072	886	1214	1341
MKOv4_3587	RPL8	2757	1556	1052	1232	2732	235	308	292
MKOv4_3171	RAD51	1398	621	747	468	1306	420	306	477
MKOv4_2679	PLK3	1766	2465	2169	1550	1812	1416	1285	1782
MKOv4_2241	MUTYH	1637	2479	1801	2227	1989	1923	2153	1991
MKOv4_4375	WEE1	1286	652	763	894	1315	166	57	21
MKOv4_1203	ERCC3	729	1180	1107	1043	918	588	667	761
MKOv4_3288	RD3	2518	2616	2736	2343	2582	1772	2331	1926
MKOv4_4475	XRCC6	1747	1150	1383	1370	1766	141	109	140
MKOv4_0123	ALDH2	1623	1679	1491	1748	1499	1137	1149	1803
MKOv4_2726	PNPLA5	2205	2056	2191	2600	2266	2217	2764	2878
MKOv4_0322	ASCC1	1804	2028	2006	1596	1910	1258	1604	1930
MKOv4_1119	EIF6	1487	450	428	248	1600	210	86	258
MKOv4_4487	YWHAB	979	1685	1201	1363	1104	1063	757	931
MKOv4_1446	FANCE	2324	1981	1928	1769	2485	1796	2046	1715
MKOv4_1534	FGF4	2151	2393	2614	2020	2592	1789	2313	1958
MKOv4_1505	FANCM	1678	1511	1615	1464	1360	930	1438	1383
MKOv4_1820	IDH1	1142	1549	1163	1365	1244	1327	1233	1512
MKOv4_1955	LIG3	1891	2205	1595	1299	1752	1872	1400	1730
MKOv4_2092	MLH3	2197	2110	2019	1783	2006	2434	1630	2051
MKOv4_3758	SLC36A3	1648	2391	2018	1602	1563	1645	2856	2350
MKOv4_0079	ALDH1A2	3626	4534	4385	3890	3661	2970	2649	4101
MKOv4_2475	OGG1	2580	3118	2437	3245	2651	1778	2475	1856
MKOv4_1291	ETAA1	2682	3442	3333	2807	2682	2018	809	1520
MKOv4_4432	XRCC1	2524	3205	3062	2658	2351	1686	2114	2183
MKOv4_0252	ALKBH3	2078	1739	1650	1355	1959	782	1354	1129
MKOv4_2893	POLN	1349	1648	1351	1395	1411	1028	1409	1140
MKOv4_1018	DMC1	1667	1744	2175	1681	1488	2333	1812	1532
MKOv4_2329	NELFB	1596	575	503	261	1549	49	53	107
MKOv4_2001	MAD2L2	909	1384	1194	1252	926	1503	792	1028
MKOv4_3118	RAD23A	1553	1104	965	799	1546	718	830	530
MKOv4_0108	ALDH1L1	1201	1569	1341	1392	1311	2087	2234	2168
MKOv4_2033	MCM5	2179	2651	2570	2307	2238	1755	1594	1960
